PassengerId,Survived,Pclass,,,Name,Sex,,Age,,,SibSp,Parch,Ticket,Fare,,Cabin,Embarked
631,1,1,0,0,"Barkworth, Mr. Algernon Henry Wilson",male,0,80,0,0,0,0,27042,30,1,A23,S
276,1,1,1,1,"Andrews, Miss. Kornelia Theodosia",female,1,63,0,1,1,0,13502,77.9583,1,D7,S
830,1,1,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,1,62,0,1,0,0,113572,80,1,B28,
367,1,1,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,1,60,0,1,1,0,110813,75.25,1,D37,C
588,1,1,0,0,"Frolicher-Stehli, Mr. Maxmillian",male,0,60,0,1,1,1,13567,79.2,1,B41,C
12,1,1,1,1,"Bonnell, Miss. Elizabeth",female,1,58,0,1,0,0,113783,26.55,1,C103,S
196,1,1,1,1,"Lurette, Miss. Elise",female,1,58,0,1,0,0,PC 17569,146.5208,1,B80,C
269,1,1,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,1,58,0,1,0,1,PC 17582,153.4625,1,C125,S
648,1,1,0,0,"Simonius-Blumer, Col. Oberst Alfons",male,0,56,0,0,0,0,13213,35.5,1,A26,C
880,1,1,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,1,56,0,1,0,1,11767,83.1583,1,C50,C
497,1,1,1,1,"Eustis, Miss. Elizabeth Mussey",female,1,54,0,1,1,0,36947,78.2667,1,D20,C
514,1,1,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,1,54,0,1,1,0,PC 17603,59.4,1,,C
572,1,1,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,1,53,0,1,2,0,11769,51.4792,1,C101,S
450,1,1,0,0,"Peuchen, Major. Arthur Godfrey",male,0,52,0,0,0,0,113786,30.5,1,C104,S
592,1,1,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,1,52,0,1,1,0,36947,78.2667,1,D20,C
821,1,1,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,1,52,0,1,1,1,12749,93.5,1,B69,S
766,1,1,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,1,51,0,1,1,0,13502,77.9583,1,D11,S
858,1,1,0,0,"Daly, Mr. Peter Denis ",male,0,51,0,0,0,0,113055,26.55,1,E17,S
300,1,1,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,1,50,0,1,0,1,PC 17558,247.5208,1,B58 B60,C
661,1,1,0,0,"Frauenthal, Dr. Henry William",male,0,50,0,1,2,0,PC 17611,133.65,1,,S
53,1,1,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,1,49,0,1,1,0,PC 17572,76.7292,1,D33,C
454,1,1,0,0,"Goldenberg, Mr. Samuel L",male,0,49,0,1,1,0,17453,89.1042,1,C92,C
600,1,1,0,0,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,0,49,0,1,1,0,PC 17485,56.9292,1,A20,C
797,1,1,1,1,"Leader, Dr. Alice (Farnham)",female,1,49,0,1,0,0,17465,25.9292,1,D17,S
461,1,1,0,0,"Anderson, Mr. Harry",male,0,48,0,0,0,0,19952,26.55,1,E12,S
557,1,1,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,1,48,0,1,1,0,11755,39.6,1,A16,C
646,1,1,0,0,"Harper, Mr. Henry Sleeper",male,0,48,0,1,1,0,PC 17572,76.7292,1,D33,C
713,1,1,0,0,"Taylor, Mr. Elmer Zebley",male,0,48,0,1,1,0,19996,52,1,C126,S
863,1,1,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,1,48,0,1,0,0,17466,25.9292,1,D17,S
872,1,1,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,1,47,0,1,1,1,11751,52.5542,1,D35,S
188,1,1,0,0,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,0,45,0,0,0,0,111428,26.55,1,,S
857,1,1,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,1,45,0,1,1,1,36928,164.8667,1,,S
195,1,1,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,1,44,0,1,0,0,PC 17610,27.7208,1,B4,C
524,1,1,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,1,44,0,1,0,1,111361,57.9792,1,B18,C
780,1,1,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,1,43,0,1,0,1,24160,211.3375,1,B3,S
381,1,1,1,1,"Bidois, Miss. Rosalie",female,1,42,0,1,0,0,PC 17757,227.525,1,,C
622,1,1,0,0,"Kimball, Mr. Edwin Nelson Jr",male,0,42,0,1,1,0,11753,52.5542,1,D19,S
708,1,1,0,0,"Calderhead, Mr. Edward Pennington",male,0,42,0,0,0,0,PC 17476,26.2875,1,E24,S
338,1,1,1,1,"Burns, Miss. Elizabeth Margaret",female,1,41,0,1,0,0,16966,134.5,1,E40,C
210,1,1,0,0,"Blank, Mr. Henry",male,0,40,0,0,0,0,112277,31,1,A31,C
320,1,1,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,1,40,0,1,1,1,16966,134.5,1,E34,C
